Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,035019,1947,06,25.9,Y
IDCJAC0002,035019,1947,07,25.3,Y
IDCJAC0002,035019,1947,08,26.5,Y
IDCJAC0002,035019,1947,09,27.5,Y
IDCJAC0002,035019,1947,10,30.9,Y
IDCJAC0002,035019,1947,11,34.6,Y
IDCJAC0002,035019,1947,12,35.1,Y
IDCJAC0002,035019,1948,01,35.0,Y
IDCJAC0002,035019,1948,02,35.6,Y
IDCJAC0002,035019,1948,03,34.5,Y
IDCJAC0002,035019,1948,04,30.8,Y
IDCJAC0002,035019,1948,05,27.4,Y
IDCJAC0002,035019,1948,06,24.2,Y
IDCJAC0002,035019,1948,07,23.4,Y
IDCJAC0002,035019,1948,08,26.4,Y
IDCJAC0002,035019,1948,09,29.6,Y
IDCJAC0002,035019,1948,10,34.3,Y
IDCJAC0002,035019,1948,11,36.1,Y
IDCJAC0002,035019,1948,12,36.3,Y
IDCJAC0002,035019,1949,01,35.3,Y
IDCJAC0002,035019,1949,02,34.3,Y
IDCJAC0002,035019,1949,03,30.7,Y
IDCJAC0002,035019,1949,04,27.4,Y
IDCJAC0002,035019,1949,05,26.2,Y
IDCJAC0002,035019,1949,06,22.7,Y
IDCJAC0002,035019,1949,07,24.3,Y
IDCJAC0002,035019,1949,08,26.3,Y
IDCJAC0002,035019,1949,09,29.9,Y
IDCJAC0002,035019,1949,10,31.5,Y
IDCJAC0002,035019,1949,11,33.8,Y
IDCJAC0002,035019,1949,12,36.6,Y
IDCJAC0002,035019,1950,01,34.2,Y
IDCJAC0002,035019,1950,02,31.8,Y
IDCJAC0002,035019,1950,03,29.7,Y
IDCJAC0002,035019,1950,04,26.9,Y
IDCJAC0002,035019,1950,05,25.8,Y
IDCJAC0002,035019,1950,06,21.6,Y
IDCJAC0002,035019,1950,07,21.9,Y
IDCJAC0002,035019,1950,08,22.4,Y
IDCJAC0002,035019,1950,09,27.4,Y
IDCJAC0002,035019,1950,10,29.2,Y
IDCJAC0002,035019,1950,11,31.3,Y
IDCJAC0002,035019,1950,12,31.6,Y
IDCJAC0002,035019,1951,01,30.6,Y
IDCJAC0002,035019,1951,02,32.9,Y
IDCJAC0002,035019,1951,03,33.3,Y
IDCJAC0002,035019,1951,04,31.4,Y
IDCJAC0002,035019,1951,05,26.8,Y
IDCJAC0002,035019,1951,06,23.6,Y
IDCJAC0002,035019,1951,07,23.9,Y
IDCJAC0002,035019,1951,08,24.7,Y
IDCJAC0002,035019,1951,09,28.6,Y
IDCJAC0002,035019,1951,10,32.5,Y
IDCJAC0002,035019,1951,11,36.7,Y
IDCJAC0002,035019,1951,12,37.5,Y
IDCJAC0002,035019,1952,01,35.1,Y
IDCJAC0002,035019,1952,02,34.3,Y
IDCJAC0002,035019,1952,03,31.4,Y
IDCJAC0002,035019,1952,04,30.2,Y
IDCJAC0002,035019,1952,05,26.2,Y
IDCJAC0002,035019,1952,06,23.2,Y
IDCJAC0002,035019,1952,07,23.2,Y
IDCJAC0002,035019,1952,08,25.9,Y
IDCJAC0002,035019,1952,09,30.7,Y
IDCJAC0002,035019,1952,10,32.5,Y
IDCJAC0002,035019,1952,11,35.7,Y
IDCJAC0002,035019,1952,12,38.2,Y
IDCJAC0002,035019,1953,01,30.8,Y
IDCJAC0002,035019,1953,02,31.3,Y
IDCJAC0002,035019,1953,03,31.4,Y
IDCJAC0002,035019,1953,04,32.4,Y
IDCJAC0002,035019,1953,05,26.2,Y
IDCJAC0002,035019,1953,06,25.1,Y
IDCJAC0002,035019,1953,07,24.1,Y
IDCJAC0002,035019,1953,08,24.3,Y
IDCJAC0002,035019,1953,09,28.3,Y
IDCJAC0002,035019,1953,10,33.2,Y
IDCJAC0002,035019,1953,11,34.1,Y
IDCJAC0002,035019,1953,12,37.3,Y
IDCJAC0002,035019,1954,01,32.2,Y
IDCJAC0002,035019,1954,02,31.1,Y
IDCJAC0002,035019,1954,03,31.4,Y
IDCJAC0002,035019,1954,04,27.7,Y
IDCJAC0002,035019,1954,05,25.8,Y
IDCJAC0002,035019,1954,06,22.1,Y
IDCJAC0002,035019,1954,07,24.1,Y
IDCJAC0002,035019,1954,08,23.4,Y
IDCJAC0002,035019,1954,09,27.1,Y
IDCJAC0002,035019,1954,10,29.3,Y
IDCJAC0002,035019,1954,11,33.8,Y
IDCJAC0002,035019,1954,12,32.9,Y
IDCJAC0002,035019,1955,01,33.8,Y
IDCJAC0002,035019,1955,02,31.3,Y
IDCJAC0002,035019,1955,03,28.6,Y
IDCJAC0002,035019,1955,04,28.3,Y
IDCJAC0002,035019,1955,05,24.5,Y
IDCJAC0002,035019,1955,06,22.2,Y
IDCJAC0002,035019,1955,07,22.3,Y
IDCJAC0002,035019,1955,08,26.3,Y
IDCJAC0002,035019,1955,09,28.4,Y
IDCJAC0002,035019,1955,10,32.3,Y
IDCJAC0002,035019,1955,11,32.8,Y
IDCJAC0002,035019,1955,12,35.3,Y
IDCJAC0002,035019,1956,01,32.7,Y
IDCJAC0002,035019,1956,02,31.9,Y
IDCJAC0002,035019,1956,03,29.3,Y
IDCJAC0002,035019,1956,04,28.5,Y
IDCJAC0002,035019,1956,05,24.8,Y
IDCJAC0002,035019,1956,06,22.4,Y
IDCJAC0002,035019,1956,07,22.9,Y
IDCJAC0002,035019,1956,08,23.2,Y
IDCJAC0002,035019,1956,09,25.7,Y
IDCJAC0002,035019,1956,10,31.7,Y
IDCJAC0002,035019,1956,11,32.5,Y
IDCJAC0002,035019,1956,12,33.2,Y
IDCJAC0002,035019,1962,01,34.5,Y
IDCJAC0002,035019,1962,02,34.7,Y
IDCJAC0002,035019,1962,03,31.5,Y
IDCJAC0002,035019,1962,04,27.9,Y
IDCJAC0002,035019,1962,05,26.2,Y
IDCJAC0002,035019,1962,06,23.7,Y
IDCJAC0002,035019,1962,07,23.2,Y
IDCJAC0002,035019,1962,08,25.6,Y
IDCJAC0002,035019,1962,09,28.8,Y
IDCJAC0002,035019,1962,10,34.2,Y
